#Other Lines MCS Shot File
#shotnumber date time sourceLat sourceLon shipLat shipLon waterDepth sciTag
401101 2019-01-31 22:15:57.973081 -62.581192 -59.244496 -62.581676 -59.246104 1447.5 BRAVOSEIS
401102 2019-01-31 22:16:14.162997 -62.581352 -59.245143 -62.581862 -59.246726 1446.2 BRAVOSEIS
401103 2019-01-31 22:16:30.318880 -62.581534 -59.245764 -62.582051 -59.247336 1445.5 BRAVOSEIS
401104 2019-01-31 22:16:46.442038 -62.581717 -59.246376 -62.582241 -59.247939 1445.2 BRAVOSEIS
401105 2019-01-31 22:17:02.554186 -62.581906 -59.246984 -62.582432 -59.248547 1445.3 BRAVOSEIS
401106 2019-01-31 22:17:18.517634 -62.582099 -59.247585 -62.582622 -59.249151 1444.1 BRAVOSEIS
401107 2019-01-31 22:17:34.468585 -62.582291 -59.248187 -62.582813 -59.249767 1444.6 BRAVOSEIS
401108 2019-01-31 22:17:50.484826 -62.582485 -59.248792 -62.583001 -59.250380 1443.4 BRAVOSEIS
401109 2019-01-31 22:18:06.528176 -62.582672 -59.249405 -62.583186 -59.250995 1442.8 BRAVOSEIS
401110 2019-01-31 22:18:22.555620 -62.582861 -59.250015 -62.583371 -59.251611 1442.6 BRAVOSEIS
401111 2019-01-31 22:18:38.549677 -62.583046 -59.250627 -62.583559 -59.252232 1444.2 BRAVOSEIS
401112 2019-01-31 22:18:54.522153 -62.583230 -59.251245 -62.583738 -59.252829 1442.3 BRAVOSEIS
401113 2019-01-31 22:19:10.501437 -62.583414 -59.251851 -62.583919 -59.253423 1442.3 BRAVOSEIS
401114 2019-01-31 22:19:26.539061 -62.583597 -59.252465 -62.584106 -59.254030 1442.1 BRAVOSEIS
401115 2019-01-31 22:19:42.564349 -62.583784 -59.253077 -62.584294 -59.254641 1442.0 BRAVOSEIS
401116 2019-01-31 22:19:58.546493 -62.583972 -59.253680 -62.584481 -59.255245 1442.1 BRAVOSEIS
401117 2019-01-31 22:20:14.623454 -62.584158 -59.254289 -62.584669 -59.255853 1442.0 BRAVOSEIS
401118 2019-01-31 22:20:30.644389 -62.584348 -59.254897 -62.584858 -59.256460 1441.0 BRAVOSEIS
